ID,Tahun Akad,Tahun Realisasi,Bank,Asosiasi,Jenis Rumah,Provinsi,Kabupaten,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Penghasilan,Nama Pengembang,Nama Perumahan,Luas Bangunan,Luas Tanah,Harga Rumah,Tenor,Suku Bunga Kpr,Nilai Flpp,Tgl Akad,Tanggal Pencairan
751189,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Rimbo Tengah,Cadika,L,SWASTA,4.500.000,PT BERKAH CIPTA PERKASA,AL MINA RESIDENCE,36,96,140.000.000,240,5%,99.750.000,"7 January, 2022","25 February, 2022"
751313,2022,2022,BANK BTN,APERSI,tapak,JAMBI,KAB BUNGO,Rimbo Tengah,Cadika,L,SWASTA,5.955.000,PT SINAR PENYELAMAT UMAT,AL KAUTSAR RESIDENCE 5,36,111,150.500.000,180,5%,106.875.000,"10 January, 2022","25 February, 2022"
751377,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Rimbo Tengah,Cadika,P,PNS,3.898.440,PT CIPTA JAYA EWISA,BUNGO CIPTA GRAHA 3,36,108,140.000.000,240,5%,99.750.000,"10 January, 2022","25 February, 2022"
751465,2022,2022,BANK BTN,APERSI,tapak,JAMBI,KAB BUNGO,Rimbo Tengah,Sungai Mengkuang,L,SWASTA,7.651.298,PT BANGUN TIGA ARTHA,PONDOK SIGINJAI SARI,36,120,150.000.000,240,5%,106.875.000,"24 January, 2022","25 February, 2022"
751928,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Bungo Dani,Talang Pantai,P,SWASTA,2.500.000,PT KHAIRUNNISA BUNGO DEMPO,DEMPO RESIDENCE,36,111,140.000.000,240,5%,92.250.000,"10 January, 2022","25 February, 2022"
751932,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Bungo Dani,Talang Pantai,L,SWASTA,3.500.000,PT KHAIRUNNISA BUNGO DEMPO,DEMPO RESIDENCE,36,113,140.000.000,240,5%,99.750.000,"21 January, 2022","25 February, 2022"
763023,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Bungo Dani,Sungai Kerjan,P,SWASTA,7.500.000,PT BERKAH CIPTA PERKASA,AZIZIYAH RESIDENCE,36,108,150.000.000,180,5%,106.875.000,"21 January, 2022","25 February, 2022"
763292,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Rimbo Tengah,Cadika,P,SWASTA,4.550.000,PT CANDIKA KAPITAL PROPERTINDO,CANDIKA ASRI,36,108,140.000.000,240,5%,99.750.000,"28 January, 2022","25 February, 2022"
763318,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Bathin III,Bungo Taman Agung,P,SWASTA,3.280.000,PT BUNGO GRAHA INDAH,GRAHA NUSA INDAH,36,108,150.000.000,240,5%,106.875.000,"14 January, 2022","25 February, 2022"
763325,2022,2022,BANK BTN,REI,tapak,JAMBI,KAB BUNGO,Bathin III,Bungo Taman Agung,L,TNI/POLRI,7.465.300,PT BUNGO GRAHA INDAH,GRAHA NUSA INDAH,36,108,150.000.000,240,5%,106.875.000,"14 January, 2022","25 February, 2022"
